AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202411,PF,PF,SUDESTE,NORDESTE,entre 40 e 49 anos,entre 50 e 59 anos,MANU,P2P,Pix,"25220688,51",112272
202411,PJ,PJ,Nao informado,NORDESTE,Nao se aplica,Nao se aplica,QRDN,B2G,Pix,"34500,84",78
202411,PF,PF,CENTRO-OESTE,Nao informado,entre 20 e 29 anos,entre 30 e 39 anos,QRES,P2P,Pix,"73359,59",2126
202411,PF,PJ,NORDESTE,NORDESTE,até 19 anos,Nao se aplica,QRDN,P2B,Pix Troco,"2407,49",15
202411,PF,PJ,SUDESTE,SUDESTE,entre 30 e 39 anos,Nao se aplica,DICT,P2G,Pix,"5981395,35",13533
202411,PF,PF,SUDESTE,SUDESTE,mais de 60 anos,mais de 60 anos,INIC,P2P,Pix,"7043799,15",8147
202411,PF,PF,Nao informado,CENTRO-OESTE,entre 50 e 59 anos,entre 40 e 49 anos,QRDN,P2P,Pix,"9989,81",73
202411,PF,PF,SUDESTE,SUL,até 19 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,"36084,33",289
202411,PF,PF,CENTRO-OESTE,NORTE,entre 20 e 29 anos,entre 40 e 49 anos,QRES,P2P,Pix,"1005988,06",28034
202411,PF,PF,SUDESTE,NORTE,entre 20 e 29 anos,entre 40 e 49 anos,QRES,P2P,Pix,"696367,09",21215
202411,PF,PF,SUDESTE,Nao informado,até 19 anos,entre 40 e 49 anos,QRDN,P2P,Pix,"6383,69",370
202411,PF,PJ,Nao informado,NORTE,entre 50 e 59 anos,Nao se aplica,QRDN,P2B,Pix Saque,"400,94",3
202411,PF,PF,NORTE,SUDESTE,entre 30 e 39 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,"112040,7",252
202411,PF,PJ,NORDESTE,SUL,entre 20 e 29 anos,Nao se aplica,Nao disponivel,P2B,Nao disponivel,"420239,66",602
202411,PF,PF,NORTE,SUDESTE,até 19 anos,entre 50 e 59 anos,Nao disponivel,P2P,Nao disponivel,"13510,04",167
202411,PF,PF,SUDESTE,NORDESTE,Nao informado,entre 40 e 49 anos,DICT,P2P,Pix,53,2
202411,PF,PF,NORTE,NORTE,entre 20 e 29 anos,entre 20 e 29 anos,DICT,P2P,Pix,"4450521777,3",22111584
202411,PF,PF,NORTE,CENTRO-OESTE,entre 40 e 49 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,"2356,22",156
202411,PF,PJ,NORDESTE,NORTE,mais de 60 anos,Nao se aplica,QRES,P2B,Pix,"2332936,52",12850
202411,PF,PJ,NORDESTE,CENTRO-OESTE,entre 40 e 49 anos,Nao se aplica,QRES,P2B,Pix Saque,1116,3
202411,PJ,PF,NORTE,Nao informado,Nao se aplica,até 19 anos,QRES,B2P,Pix,313,3
202411,PF,PF,CENTRO-OESTE,NORTE,entre 30 e 39 anos,entre 40 e 49 anos,QRDN,P2P,Pix,"862250,29",25114
202411,PF,PJ,NORDESTE,NORDESTE,mais de 60 anos,Nao se aplica,QRDN,P2B,Pix,"433934637,94",4646588
202411,PF,PJ,SUDESTE,CENTRO-OESTE,entre 40 e 49 anos,Nao se aplica,QRDN,P2B,Pix Troco,"1355,01",7
202411,PF,PF,SUL,SUL,mais de 60 anos,entre 30 e 39 anos,DICT,P2P,Pix,"1385934738,81",2916315
202411,PF,PF,Nao informado,CENTRO-OESTE,Nao informado,até 19 anos,MANU,P2P,Pix,10,1
202411,PF,PJ,SUDESTE,CENTRO-OESTE,até 19 anos,Nao se aplica,QRDN,P2G,Pix,"4074518,02",65290
202411,PF,PF,NORTE,SUL,até 19 anos,mais de 60 anos,MANU,P2P,Pix,"114804,91",988
202411,PF,PF,CENTRO-OESTE,NORDESTE,entre 50 e 59 anos,entre 50 e 59 anos,MANU,P2P,Pix,"4496978,77",15246
202411,PF,PJ,Nao informado,NORTE,entre 40 e 49 anos,Nao se aplica,DICT,P2B,Pix,"2765388,9",1603
202411,PF,PF,SUL,Nao informado,entre 40 e 49 anos,entre 50 e 59 anos,MANU,P2P,Pix,"1072057,35",358
202411,PF,PJ,Nao informado,NORDESTE,entre 20 e 29 anos,Nao se aplica,QRES,P2G,Pix,27,3
202411,PJ,PJ,SUDESTE,SUL,Nao se aplica,Nao se aplica,QRDN,G2G,Pix,"2079,87",2
202411,PF,PF,SUDESTE,CENTRO-OESTE,entre 20 e 29 anos,mais de 60 anos,MANU,P2P,Pix,"4375190,71",10115
202411,PF,PF,CENTRO-OESTE,NORTE,entre 30 e 39 anos,entre 50 e 59 anos,MANU,P2P,Pix,"5919257,32",16423
202411,PF,PJ,NORTE,SUDESTE,até 19 anos,Nao se aplica,INIC,P2B,Pix,"4,99",1
202411,PF,PJ,NORTE,CENTRO-OESTE,até 19 anos,Nao se aplica,QRES,P2G,Pix,"2905,16",40
202411,PF,PJ,NORTE,SUL,entre 30 e 39 anos,Nao se aplica,INIC,P2B,Pix,"13755,54",68
202411,PF,PF,NORDESTE,NORTE,mais de 60 anos,entre 20 e 29 anos,DICT,P2P,Pix,"10847719,8",40325
202411,PF,PF,Nao informado,Nao informado,entre 20 e 29 anos,entre 50 e 59 anos,DICT,P2P,Pix,"397413,69",1626
202411,PF,PF,SUL,CENTRO-OESTE,até 19 anos,mais de 60 anos,DICT,P2P,Pix,"490056,99",3575
202411,PJ,PF,NORTE,NORDESTE,Nao se aplica,entre 30 e 39 anos,MANU,G2P,Pix,"29285,29",17
202411,PF,PF,NORTE,NORDESTE,entre 40 e 49 anos,entre 20 e 29 anos,MANU,P2P,Pix,"6085104,63",53890
202411,PJ,PF,SUL,NORDESTE,Nao se aplica,entre 30 e 39 anos,Nao disponivel,B2P,Nao disponivel,"7841688,41",35978
202411,PF,PF,NORDESTE,SUL,entre 30 e 39 anos,entre 30 e 39 anos,QRES,P2P,Pix,"1546858,93",30885
202411,PJ,PJ,SUL,SUL,Nao se aplica,Nao se aplica,QRDN,G2G,Pix,"1658812,27",199
202411,PF,PJ,Nao informado,SUL,entre 40 e 49 anos,Nao se aplica,MANU,P2G,Pix,"66,71",2
202411,PJ,PF,NORTE,SUDESTE,Nao se aplica,entre 40 e 49 anos,MANU,G2P,Pix,"74018,13",17
202411,PF,PJ,NORTE,SUL,entre 50 e 59 anos,Nao se aplica,MANU,P2G,Pix,305,4
202411,PF,PJ,Nao informado,SUL,entre 50 e 59 anos,Nao se aplica,QRDN,P2G,Pix,"127986,61",110
202411,PF,PF,NORTE,NORTE,entre 30 e 39 anos,entre 20 e 29 anos,DICT,P2P,Pix,"1314825146,39",8704778
202411,PJ,PF,SUL,NORTE,Nao se aplica,entre 50 e 59 anos,MANU,B2P,Pix,"15180819,93",11653
202411,PF,PF,NORTE,SUDESTE,entre 30 e 39 anos,entre 20 e 29 anos,DICT,P2P,Pix,42065495,237240
202411,PF,PJ,SUL,NORDESTE,entre 40 e 49 anos,Nao se aplica,MANU,P2G,Pix,74992,8
202411,PF,PF,SUDESTE,NORDESTE,entre 40 e 49 anos,entre 30 e 39 anos,Nao disponivel,P2P,Nao disponivel,"710846,98",3642
202411,PF,PF,CENTRO-OESTE,Nao informado,entre 40 e 49 anos,entre 40 e 49 anos,DICT,P2P,Pix,"3077621,79",3818
202411,PF,PJ,SUL,SUL,entre 50 e 59 anos,Nao se aplica,INIC,P2B,Pix,"98423,8",403
202411,PF,PF,NORTE,NORDESTE,mais de 60 anos,entre 40 e 49 anos,QRES,P2P,Pix,"599711,62",7995
202411,PJ,PJ,SUDESTE,SUL,Nao se aplica,Nao se aplica,Nao disponivel,B2G,Nao disponivel,"32185,56",29
202411,PF,PF,NORDESTE,CENTRO-OESTE,entre 40 e 49 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"43551,05",118
202411,PF,PF,Nao informado,NORDESTE,Nao informado,entre 20 e 29 anos,MANU,P2P,Pix,"1729,25",13
